CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829254.6620
MEM 34.550781 1773829254.7626
MEM 34.550781 1773829254.8632
MEM 34.550781 1773829254.9637
MEM 34.550781 1773829255.0643
MEM 34.550781 1773829255.1648
MEM 34.550781 1773829255.2653
MEM 34.550781 1773829255.3658
MEM 34.550781 1773829255.4664
MEM 34.550781 1773829255.5669
MEM 34.550781 1773829255.6672
MEM 34.550781 1773829255.7676
MEM 34.550781 1773829255.8680
MEM 34.550781 1773829255.9685
MEM 34.550781 1773829256.0690
MEM 34.550781 1773829256.1695
MEM 34.550781 1773829256.2700
MEM 34.550781 1773829256.3706
MEM 34.550781 1773829256.4711
MEM 34.550781 1773829256.5716
MEM 34.550781 1773829256.6721
MEM 34.550781 1773829256.7726
MEM 34.550781 1773829256.8731
MEM 34.550781 1773829256.9735
MEM 34.550781 1773829257.0739
MEM 34.550781 1773829257.1744
MEM 34.550781 1773829257.2750
MEM 34.550781 1773829257.3755
MEM 34.550781 1773829257.4761
MEM 34.550781 1773829257.5767
MEM 34.550781 1773829257.6772
MEM 34.550781 1773829257.7778
MEM 34.550781 1773829257.8783
MEM 34.550781 1773829257.9790
MEM 34.550781 1773829258.0797
MEM 34.550781 1773829258.1805
MEM 34.550781 1773829258.2812
MEM 34.550781 1773829258.3820
MEM 34.550781 1773829258.4827
MEM 34.550781 1773829258.5835
MEM 34.550781 1773829258.6843
MEM 34.550781 1773829258.7850
MEM 34.550781 1773829258.8858
MEM 34.550781 1773829258.9866
MEM 34.550781 1773829259.0875
MEM 34.550781 1773829259.1883
MEM 34.550781 1773829259.2891
MEM 34.550781 1773829259.3898
MEM 34.550781 1773829259.4906
MEM 34.550781 1773829259.5913
MEM 34.550781 1773829259.6921
MEM 34.550781 1773829259.7929
MEM 34.550781 1773829259.8937
MEM 34.550781 1773829259.9945
MEM 34.550781 1773829260.0953
MEM 34.550781 1773829260.1961
MEM 34.550781 1773829260.2969
MEM 34.550781 1773829260.3977
MEM 34.550781 1773829260.4984
MEM 34.550781 1773829260.5993
MEM 34.550781 1773829260.7001
MEM 34.550781 1773829260.8009
MEM 34.550781 1773829260.9016
MEM 34.550781 1773829261.0024
MEM 34.550781 1773829261.1032
MEM 34.550781 1773829261.2040
MEM 34.550781 1773829261.3049
MEM 34.550781 1773829261.4056
MEM 34.550781 1773829261.5064
MEM 34.550781 1773829261.6072
MEM 34.550781 1773829261.7080
MEM 34.550781 1773829261.8087
MEM 34.550781 1773829261.9096
MEM 34.550781 1773829262.0105
MEM 34.550781 1773829262.1113
MEM 34.550781 1773829262.2121
MEM 34.550781 1773829262.3130
